City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,25.4,53,32,0.89,US,1696279470
1,valparaiso,-33.0393,-71.6273,17.8,65,40,5.66,CL,1696279499
2,avarua,-21.2078,-159.775,22.03,73,75,4.12,CK,1696279442
3,edinburgh of the seven seas,-37.0676,-12.3116,9.82,55,38,9.67,SH,1696279482
4,sheridan,44.8333,-106.9173,18.51,71,40,1.54,US,1696279500
5,grytviken,-54.2811,-36.5092,2.44,97,100,5.16,GS,1696279500
6,vorgashor,67.5833,63.95,2.97,77,100,9.64,RU,1696279500
7,hawaiian paradise park,19.5933,-154.9731,27.72,80,20,0.89,US,1696279500
8,kilindoni,-7.9139,39.6668,25.12,80,41,6.33,TZ,1696279500
9,kingston,17.997,-76.7936,33.53,74,40,4.12,JM,1696278906
10,puerto aysen,-45.4,-72.7,8.56,90,100,1.39,CL,1696279501
11,port-aux-francais,-49.35,70.2167,1.99,70,85,15.24,TF,1696279476
12,sumter,28.7086,-82.0831,30.45,58,34,6.61,US,1696279501
13,christchurch,-43.5333,172.6333,7.73,82,75,5.14,NZ,1696279272
14,ad dawadimi,24.5077,44.3924,27.64,16,2,5.39,SA,1696279501
15,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,5.14,EC,1696279345
16,brandon,27.9378,-82.2859,31.95,66,100,5.14,US,1696279486
17,whitehorse,60.7161,-135.0538,9.5,73,75,7.2,CA,1696279502
18,thinadhoo,0.5333,72.9333,27.83,76,55,5.29,MV,1696279502
19,taltal,-25.4,-70.4833,16.9,75,25,3.15,CL,1696279502
20,zaozersk,69.4005,32.4476,1.82,76,100,2.63,RU,1696279502
21,waitangi,-43.9535,-176.5597,11.57,88,95,0.89,NZ,1696279474
22,thompson,55.7435,-97.8558,7.09,81,100,3.09,CA,1696279341
23,nova sintra,14.8667,-24.7167,23.78,81,84,4.58,CV,1696279503
24,bilibino,68.0546,166.4372,-8.36,96,100,0.68,RU,1696279503
25,bethel,41.3712,-73.414,25.05,60,0,4.63,US,1696279371
26,lompoc,34.6391,-120.4579,26.68,73,20,7.15,US,1696279503
27,la'ie,21.6477,-157.9253,29.5,70,4,2.68,US,1696279503
28,mejit,10.2753,170.8646,28.63,78,10,7.05,MH,1696279504
29,bredasdorp,-34.5322,20.0403,13.51,72,0,1.48,ZA,1696279504
30,iqaluit,63.7506,-68.5145,4.85,75,100,7.2,CA,1696279504
31,glace bay,46.1969,-59.957,16.61,72,40,4.12,CA,1696279504
32,olonkinbyen,70.9221,-8.7187,2.5,97,100,7.63,SJ,1696279504
33,lihue,21.9789,-159.3672,27.58,73,40,4.63,US,1696279477
34,egilsstadir,65.2653,-14.3948,5.95,93,100,8.23,IS,1696279505
35,tiksi,71.6872,128.8694,-2.49,79,100,6.42,RU,1696279505
36,kapa'a,22.0752,-159.319,27.99,78,40,4.63,US,1696279493
37,anadyr,64.75,177.4833,-1.72,93,0,4.0,RU,1696279505
38,oranjemund,-28.55,16.4333,16.12,79,0,1.78,NA,1696279506
39,hilo,19.7297,-155.09,28.12,76,20,2.24,US,1696279501
40,codrington,-38.2667,141.9667,13.52,90,88,5.52,AU,1696279506
41,huitan,15.1,-91.6167,22.43,68,61,1.14,GT,1696279506
42,nouna,12.7333,-3.8667,27.94,63,100,3.64,BF,1696279506
43,juliaca,-15.5,-70.1333,20.99,19,0,7.3,PE,1696279506
44,portland,45.5234,-122.6762,15.41,84,100,3.58,US,1696279094
45,margaret river,-33.95,115.0667,12.63,67,89,6.83,AU,1696279507
46,uturoa,-16.7333,-151.4333,25.71,83,1,6.91,PF,1696279478
47,dumai,1.6833,101.45,23.58,97,96,1.12,ID,1696279507
48,mount gambier,-37.8333,140.7667,12.09,82,77,3.73,AU,1696279507
49,gamba,-2.65,10.0,25.01,87,88,3.39,GA,1696279508
50,kuta,-8.7233,115.1723,23.97,100,40,1.03,ID,1696279508
51,puerto natales,-51.7236,-72.4875,11.25,50,75,4.63,CL,1696279476
52,qaqortoq,60.7167,-46.0333,5.54,54,100,1.62,GL,1696279508
53,revda,56.801,59.9303,10.67,82,100,3.87,RU,1696279508
54,ushuaia,-54.8,-68.3,5.81,65,75,2.57,AR,1696279006
55,nieuw amsterdam,5.8833,-55.0833,36.19,63,40,1.03,SR,1696279509
56,chui,-33.6971,-53.4616,14.21,80,1,2.82,UY,1696279217
57,adamstown,-25.066,-130.1015,20.16,72,69,10.61,PN,1696279509
58,jamestown,42.097,-79.2353,27.23,56,20,1.54,US,1696279287
59,keetmanshoop,-26.5833,18.1333,26.51,13,0,2.06,NA,1696279509
60,queenstown,-31.8976,26.8753,19.2,30,0,2.67,ZA,1696279509
61,belen,36.4891,36.2233,18.08,68,40,3.6,TR,1696279510
62,udachny,66.4167,112.4,-7.27,95,14,2.47,RU,1696279510
63,ribeira grande,38.5167,-28.7,20.22,68,20,4.63,PT,1696279479
64,vilyuchinsk,52.9306,158.4028,8.85,95,100,4.19,RU,1696279510
65,san antonio de pale,-1.4014,5.6325,25.39,86,100,6.32,GQ,1696279511
66,berdyansk,46.7503,36.7944,16.05,59,1,6.57,UA,1696279511
67,aykhal,66.0,111.5,-7.74,91,99,3.13,RU,1696279511
68,skovorodino,53.9833,123.9167,5.87,77,100,2.94,RU,1696279511
69,badger,64.8,-147.5333,2.42,90,100,2.57,US,1696279511
70,patacamaya,-17.2333,-67.9167,17.99,38,74,7.14,BO,1696279512
71,fale old settlement,-9.3852,-171.2468,28.15,75,37,4.27,TK,1696279480
72,xilin hot,43.9667,116.0333,10.55,56,27,4.66,CN,1696279512
73,bamboo flat,11.7,92.7167,26.05,94,75,0.51,IN,1696279512
74,tirmiz,37.2242,67.2783,15.05,47,0,3.09,UZ,1696279512
75,utrik,11.2278,169.8474,28.81,78,23,7.25,MH,1696279512
76,labrador city,52.9463,-66.9114,8.95,49,100,6.17,CA,1696279513
77,grottammare,42.9888,13.8649,22.9,66,7,1.84,IT,1696279513
78,rongelap,11.1635,166.8941,29.04,76,100,6.15,MH,1696279513
79,thames,-37.1333,175.5333,12.07,60,81,4.6,NZ,1696279513
80,tambacounda,13.7539,-13.7586,33.03,70,40,3.09,SN,1696279513
81,stanley,54.868,-1.6985,10.44,93,100,1.85,GB,1696279514
82,ilulissat,69.2167,-51.1,0.01,43,0,2.57,GL,1696279514
83,beloyarskiy,63.7119,66.6722,9.44,88,34,4.02,RU,1696279514
84,aasiaat,68.7098,-52.8699,-6.11,70,1,3.79,GL,1696279514
85,touros,-5.1989,-35.4608,25.29,80,100,6.18,BR,1696279514
86,bel ombre,-4.6167,55.4167,27.91,78,40,6.17,SC,1696279515
87,isafjordur,66.0755,-23.124,1.46,92,100,7.24,IS,1696279515
88,punta arenas,-53.15,-70.9167,9.06,61,100,4.63,CL,1696279327
89,nadi,-17.8,177.4167,24.0,64,40,5.66,FJ,1696279225
90,puerto ayora,-0.7393,-90.3518,28.98,92,94,3.58,EC,1696279515
91,papatowai,-46.5619,169.4708,7.86,54,12,2.2,NZ,1696279516
92,blackmans bay,-43.0167,147.3167,13.07,67,100,5.77,AU,1696279475
93,hithadhoo,-0.6,73.0833,27.74,74,30,5.23,MV,1696279500
94,ola,59.5833,151.2833,6.34,77,62,4.11,RU,1696279516
95,helston,50.1032,-5.2705,14.11,94,40,3.6,GB,1696279217
96,rio grande,-32.035,-52.0986,21.06,78,0,3.75,BR,1696279516
97,alo,7.4178,6.7371,25.0,92,76,1.12,NG,1696279517
98,yellowknife,62.456,-114.3525,10.79,92,75,1.54,CA,1696279517
99,praia da vitoria,38.7333,-27.0667,20.14,73,20,5.02,PT,1696279481
100,maragogi,-9.0122,-35.2225,23.87,78,5,3.8,BR,1696279517
101,floro,61.5996,5.0328,12.98,82,75,9.77,NO,1696279517
102,guerrero negro,27.9769,-114.0611,21.91,51,0,7.76,MX,1696279517
103,klyuchi,52.2667,79.1667,4.65,56,3,3.27,RU,1696279517
104,vytegra,61.0064,36.4481,11.31,90,100,8.05,RU,1696279518
105,hammerfest,70.6634,23.6821,2.25,75,75,1.54,NO,1696279518
106,oropesa del mar,40.1,0.15,24.28,75,16,1.75,ES,1696279518
107,creston,41.0586,-94.3614,31.51,37,40,7.2,US,1696279518
108,wailua homesteads,22.0669,-159.378,27.24,78,40,4.63,US,1696279518
109,sinabang,2.4803,96.3801,26.37,79,99,4.89,ID,1696279483
110,suva,-18.1416,178.4415,23.71,69,75,5.14,FJ,1696279519
111,yaounde,3.8667,11.5167,20.59,99,93,1.89,CM,1696279519
112,port elizabeth,-33.918,25.5701,18.51,75,0,2.06,ZA,1696279297
113,vila franca do campo,37.7167,-25.4333,20.23,99,83,4.4,PT,1696279519
114,salinopolis,-0.6136,-47.3561,27.52,80,30,6.28,BR,1696279519
115,east london,-33.0153,27.9116,18.59,75,0,6.91,ZA,1696279519
116,pisco,-13.7,-76.2167,23.03,68,0,4.12,PE,1696279520
117,madaoua,14.073,5.96,28.73,55,91,5.55,NE,1696279520
118,bahia blanca,-38.7196,-62.2724,23.23,27,66,3.58,AR,1696279520
119,kharp,66.8014,65.8081,4.19,90,100,5.39,RU,1696279520
120,lensk,60.7253,114.9278,-0.16,81,96,1.79,RU,1696279520
121,ta`u,-14.2336,-169.5144,26.6,82,98,10.68,AS,1696279486
122,tougue,11.4667,-11.6,21.24,89,94,0.45,GN,1696279521
123,kirakira,-10.4544,161.9205,27.4,86,93,5.31,SB,1696279521
124,qarqaraly,49.4058,75.4742,6.21,80,67,4.97,KZ,1696279521
125,paoua,7.2427,16.4406,22.13,92,99,0.81,CF,1696279521
126,talnakh,69.4865,88.3972,-1.55,95,100,7.82,RU,1696279522
127,saguenay,48.4168,-71.0657,22.46,58,75,4.63,CA,1696279255
128,oregon,44.0001,-120.5014,14.23,49,94,6.45,US,1696279522
129,tolanaro,-25.0319,46.9987,19.04,82,75,5.14,MG,1696279522
130,lebu,-37.6167,-73.65,10.27,81,99,4.72,CL,1696279522
131,coaticook,45.1334,-71.7991,21.87,61,56,0.6,CA,1696279522
132,saipan,15.1355,145.701,28.39,83,40,4.63,MP,1696279510
133,susuman,62.7833,148.1667,-1.68,82,8,1.34,RU,1696279488
134,cockburn town,21.4612,-71.1419,28.63,76,57,5.18,TC,1696279523
135,west island,-12.1568,96.8225,24.99,73,40,8.75,CC,1696279523
136,kumertau,52.7667,55.7833,13.53,53,100,2.68,RU,1696279523
137,nemuro,43.3236,145.575,13.34,72,24,10.14,JP,1696279523
138,selkirk,50.1436,-96.8845,18.98,90,100,2.68,CA,1696279523
139,vila velha,-20.3297,-40.2925,24.41,87,75,3.09,BR,1696279371
140,san julian,21.0167,-102.1667,27.13,25,94,1.28,MX,1696279524
141,puerto real,36.5282,-6.1901,27.56,51,96,6.26,ES,1696279524
142,novaya igirma,57.1334,103.9112,-2.04,97,90,2.4,RU,1696279524
143,mwingi,-0.9344,38.0601,20.61,59,14,3.92,KE,1696279524
144,eket,4.6412,7.9209,25.7,89,87,1.97,NG,1696279524
145,francistown,-21.17,27.5079,16.0,63,0,7.98,BW,1696279297
146,walvis bay,-22.9575,14.5053,14.53,88,0,3.6,NA,1696279525
147,beira,-19.8436,34.8389,22.05,78,40,5.81,MZ,1696279525
148,carnarvon,-24.8667,113.6333,15.7,64,0,11.11,AU,1696279525
149,monte carmelo,-18.7247,-47.4986,22.99,70,66,0.56,BR,1696279525
150,kodiak,57.79,-152.4072,8.73,49,0,7.2,US,1696279525
151,chonchi,-42.6128,-73.8092,11.18,83,100,0.57,CL,1696279526
152,newman,37.3138,-121.0208,25.69,37,6,3.58,US,1696279513
153,mugia,43.1041,-9.2179,19.95,93,100,4.12,ES,1696279526
154,afaahiti,-17.75,-149.2833,26.93,87,71,6.99,PF,1696279526
155,hamilton,39.1834,-84.5333,31.25,45,0,2.06,US,1696279417
156,ust-nera,64.5667,143.2,-1.55,81,32,0.89,RU,1696279526
157,margate,51.3813,1.3862,19.06,94,100,0.89,GB,1696279482
158,chibougamau,49.9168,-74.3659,16.79,77,75,8.75,CA,1696279399
159,northam,51.0333,-4.2167,13.67,97,100,5.94,GB,1696279527
160,khandyga,62.6667,135.6,5.36,88,100,1.19,RU,1696279527
161,kavaratti,10.5669,72.642,27.77,77,100,3.84,IN,1696279527
162,tocopilla,-22.092,-70.1979,19.51,74,27,5.16,CL,1696279527
163,alice springs,-23.7,133.8833,28.75,20,52,7.72,AU,1696279527
164,buka,40.8108,69.1986,14.35,34,1,2.35,UZ,1696279517
165,invercargill,-46.4,168.35,6.68,86,15,1.79,NZ,1696279495
166,majene,-3.5403,118.9707,24.54,90,64,2.27,ID,1696279528
167,bokakhat,26.6333,93.6,25.12,98,100,0.71,IN,1696279528
168,acarau,-2.8856,-40.12,26.62,80,86,7.58,BR,1696279528
169,al burayqah,30.4062,19.5739,24.25,61,0,5.3,LY,1696279529
170,kapuskasing,49.4169,-82.4331,28.05,51,40,8.75,CA,1696279529
171,shimoda,34.6667,138.95,18.39,73,66,4.51,JP,1696279529
172,otofuke,42.9917,143.2003,12.47,73,48,5.61,JP,1696279529
173,funafuti,-8.5243,179.1942,30.0,89,75,3.09,TV,1696279529
174,san martin,-33.081,-68.4681,26.3,22,98,11.5,AR,1696279530
175,brooks,50.5834,-111.8851,12.99,65,100,3.09,CA,1696279530
176,ganshui,28.7422,106.7111,21.03,98,100,0.99,CN,1696279530
177,port mathurin,-19.6833,63.4167,23.55,83,25,6.8,MU,1696279483
178,weno,7.4515,151.8468,25.97,94,100,0.0,FM,1696279530
179,kinzan,36.1031,127.4889,12.02,74,100,1.3,KR,1696279531
180,sorong,-0.8833,131.25,26.1,81,100,1.3,ID,1696279531
181,coari,-4.085,-63.1414,36.91,25,100,1.02,BR,1696279399
182,ndende,-2.4008,11.3581,24.11,89,25,1.89,GA,1696279531
183,namibe,-15.1961,12.1522,19.7,78,4,0.98,AO,1696279531
184,jonquiere,48.4165,-71.2488,22.06,54,46,4.63,CA,1696279531
185,yakeshi,49.2833,120.7333,8.46,57,100,1.51,CN,1696279532
186,juneau,58.3019,-134.4197,10.68,95,100,5.66,US,1696279318
187,galappo,-4.2667,35.85,19.79,48,99,3.73,TZ,1696279532
188,piney green,34.716,-77.3202,27.23,44,0,3.6,US,1696279532
189,port douglas,-16.4833,145.4667,23.26,83,58,3.74,AU,1696279532
190,whakatane,-37.9585,176.9854,13.62,65,31,4.92,NZ,1696279532
191,guelmim,28.987,-10.0574,28.32,22,0,3.59,MA,1696279533
192,alofi,-19.0595,-169.9187,22.94,68,100,8.75,NU,1696279533
193,champerico,14.3,-91.9167,35.3,67,59,3.95,GT,1696279533
194,mandalgovi,45.7625,106.2708,2.09,56,25,5.46,MN,1696279533
195,greymouth,-42.4667,171.2,8.38,64,0,4.17,NZ,1696279533
196,vimmerby,57.6659,15.8552,12.78,94,100,2.91,SE,1696279505
197,okanagan,50.3639,-119.35,14.59,40,88,0.41,CA,1696279534
198,flying fish cove,-10.4217,105.6791,23.82,78,75,6.17,CX,1696279534
199,fada,9.5667,8.3,21.18,96,100,2.28,NG,1696279534
200,cururupu,-1.8283,-44.8683,26.72,76,96,2.41,BR,1696279534
201,la passe,45.5549,-0.8967,23.13,92,7,4.33,FR,1696279534
202,longyearbyen,78.2186,15.6401,-3.09,68,75,8.23,SJ,1696279534
203,kita,13.0349,-9.4895,22.51,91,93,1.18,ML,1696279535
204,haiku-pauwela,20.9219,-156.3051,28.36,62,20,1.54,US,1696279535
205,franklin,39.9667,-83.0166,30.88,45,0,3.09,US,1696279535
206,ofunato,39.0717,141.7167,14.51,73,0,3.54,JP,1696279535
207,tura,25.5198,90.2201,23.35,97,100,2.64,IN,1696279338
208,conde,-7.2597,-34.9075,26.7,74,75,5.14,BR,1696279535
209,wajir,1.7471,40.0573,27.2,52,5,8.75,KE,1696279535
210,ar ruseris,11.8659,34.3869,26.36,74,12,2.64,SD,1696279535
211,port lincoln,-34.7333,135.8667,12.29,79,63,4.88,AU,1696279536
212,goundam,16.4145,-3.6708,37.08,20,81,2.34,ML,1696279536
213,san ignacio,17.1561,-89.0714,33.08,62,40,2.06,BZ,1696279536
214,crane,31.3974,-102.3501,31.09,40,65,9.27,US,1696279536
215,iquitos,-3.7481,-73.2472,34.02,62,75,3.6,PE,1696279397
216,enewetak,11.3474,162.3373,28.88,79,92,7.61,MH,1696279478
217,hami,42.8,93.45,16.75,34,52,0.79,CN,1696279536
218,laojunmiao,39.8333,97.7333,11.85,39,98,2.62,CN,1696279537
219,gaiman,-43.2897,-65.4929,13.33,42,12,8.36,AR,1696279392
220,monteria,8.748,-75.8814,25.95,94,40,1.54,CO,1696279537
221,geraldton,-28.7667,114.6,14.23,72,100,1.54,AU,1696279537
222,sitka,57.0531,-135.33,11.94,87,100,3.09,US,1696279238
223,korla,41.7597,86.1469,18.2,32,99,4.51,CN,1696279538
224,tual,-5.6667,132.75,26.4,87,29,5.78,ID,1696279538
225,quang ngai,15.1167,108.8,25.31,88,100,2.1,VN,1696279538
226,aioun,16.6614,-9.6149,36.36,13,30,4.31,MR,1696279538
227,keflavik,64.0049,-22.5624,6.95,75,75,8.75,IS,1696279538
228,bozoum,6.3193,16.3799,21.64,96,100,1.16,CF,1696279538
229,thunder bay,48.4001,-89.3168,28.95,45,75,3.6,CA,1696279260
230,ballina,-28.8667,153.5667,19.38,72,0,4.67,AU,1696279539
231,dudinka,69.4058,86.1778,-1.32,96,100,10.28,RU,1696279539
232,attapeu,14.8,106.8333,24.52,99,100,0.16,LA,1696279539
233,polyarnyy,69.1989,33.4478,2.38,73,100,3.25,RU,1696279476
234,gaspe,48.8334,-64.4819,17.12,55,75,4.12,CA,1696279371
235,puerto leguizamo,-0.1934,-74.7819,29.26,78,99,0.66,CO,1696279540
236,aral,40.5156,81.2636,19.34,25,46,2.65,CN,1696279356
237,pachino,36.7186,15.0907,22.64,65,0,1.22,IT,1696279540
238,solnechnyy,50.7214,136.6319,6.13,92,100,2.65,RU,1696279540
239,college,64.8569,-147.8028,2.47,89,100,2.57,US,1696279540
240,constantia,44.1833,28.65,14.38,49,0,4.8,RO,1696279384
241,iskateley,67.6803,53.1512,3.9,78,62,9.39,RU,1696279541
242,childress,34.4264,-100.204,29.4,42,75,5.66,US,1696279541
243,st. john's,47.5649,-52.7093,13.66,86,20,1.54,CA,1696279318
244,porto franco,-6.3383,-47.3992,35.64,24,98,1.43,BR,1696279541
245,torrevieja,37.9787,-0.6822,24.17,83,0,1.78,ES,1696279541
246,zolotonosha,49.6689,32.0377,11.22,62,30,3.57,UA,1696279541
247,fushun,41.8558,123.9233,15.84,69,100,2.91,CN,1696279542
248,nirmali,26.3167,86.5833,25.46,93,48,3.94,IN,1696279542
249,ed damer,17.5928,33.9592,35.24,17,0,3.82,SD,1696279542
250,riviere-du-loup,47.8304,-69.5342,20.15,45,53,3.6,CA,1696279242
251,vredendal,-31.6683,18.5012,17.95,60,0,2.53,ZA,1696279542
252,severo-yeniseyskiy,60.3725,93.0408,-3.01,87,100,3.58,RU,1696279542
253,kismayo,-0.3582,42.5454,25.73,87,10,6.91,SO,1696279542
254,crieff,56.3727,-3.8389,11.75,95,100,2.51,GB,1696279543
255,chernyshevskiy,63.0128,112.4714,-3.85,89,75,2.68,RU,1696279543
256,misratah,32.3754,15.0925,24.58,62,0,5.13,LY,1696279543
257,alta sierra,35.7291,-118.5495,16.17,52,72,3.14,US,1696279543
258,guroymak,38.5774,42.0281,12.12,85,62,1.25,TR,1696279543
259,wynyard,-41.0,145.7167,12.71,97,100,2.62,AU,1696279493
260,mar del plata,-38.0023,-57.5575,13.07,88,0,6.17,AR,1696279544
261,paragould,36.0584,-90.4973,32.94,39,61,1.34,US,1696279502
262,ciudad lazaro cardenas,17.9583,-102.2,30.23,75,97,3.59,MX,1696279277
263,ozery,54.86,38.5506,12.61,74,62,2.95,RU,1696279544
264,prince albert,53.2001,-105.7677,6.97,100,100,7.2,CA,1696279516
265,muisne,0.6,-80.0333,25.24,79,95,5.98,EC,1696279544
266,gaalkacyo,6.7697,47.4308,26.99,61,12,8.61,SO,1696279545
267,coquimbo,-29.9533,-71.3436,16.85,59,20,6.17,CL,1696279300
268,okahandja,-21.9833,16.9167,23.18,20,66,1.79,NA,1696279545
269,guantanamo,20.1444,-75.2092,32.76,69,77,2.54,CU,1696279545
270,ebolowa,2.9,11.15,21.22,100,99,1.19,CM,1696279545
271,yacuiba,-22.038,-63.6797,35.43,41,4,0.0,BO,1696279545
272,dolores,-36.3132,-57.6792,14.05,69,84,4.13,AR,1696279546
273,zeya,53.75,127.2667,6.05,85,20,1.34,RU,1696279546
274,tadine,-21.55,167.8833,22.11,69,96,8.76,NC,1696279546
275,zhalantun,48.0,122.7167,11.45,59,100,2.49,CN,1696279546
276,tucuma,-0.1833,-50.05,29.34,65,75,5.25,BR,1696279546
277,inari,68.906,27.0288,-0.89,86,100,1.94,FI,1696279546
278,bayevo,53.2833,80.7667,2.75,53,0,2.6,RU,1696279546
279,san luis de la loma,17.2706,-100.8939,30.47,73,74,3.09,MX,1696279547
